Company,Company Number,Jurisdiction,Address,Latitude,Longitude,Status,Incorporation Date,Company Type
Engineering Ingegneria Informatica Spa,N/A,N/A,N/A,,,N/A,N/A,N/A
Engineering Group,N/A,N/A,N/A,,,N/A,N/A,N/A
Engineering Ingegneria Informatica SPA,N/A,N/A,N/A,,,N/A,N/A,N/A
Intesa Sanpaolo,N/A,N/A,N/A,,,N/A,N/A,N/A
Banca Monte dei Paschi di Siena,N/A,N/A,N/A,,,N/A,N/A,N/A
Nexen Business Consulting,N/A,N/A,N/A,,,N/A,N/A,N/A
BFF Banking Group,N/A,N/A,N/A,,,N/A,N/A,N/A
Accenture,N/A,N/A,N/A,,,N/A,N/A,N/A
Freelance,N/A,N/A,N/A,,,N/A,N/A,N/A
Self-employed,N/A,N/A,N/A,,,N/A,N/A,N/A
MUNICIPIA SPA,N/A,N/A,N/A,,,N/A,N/A,N/A
Avanade,N/A,N/A,N/A,,,N/A,N/A,N/A
EY,N/A,N/A,N/A,,,N/A,N/A,N/A
Engage SpA,N/A,N/A,N/A,,,N/A,N/A,N/A
Societe Generale Securities Services - SGSS,N/A,N/A,N/A,,,N/A,N/A,N/A
Engineering Ingegneria Informatica S.p.A.,N/A,N/A,N/A,,,N/A,N/A,N/A
Micra Software & Services S.r.l.,N/A,N/A,N/A,,,N/A,N/A,N/A
Capgemini,N/A,N/A,N/A,,,N/A,N/A,N/A
UniCredit,N/A,N/A,N/A,,,N/A,N/A,N/A
Federmanager,N/A,N/A,N/A,,,N/A,N/A,N/A
Autonomo,N/A,N/A,N/A,,,N/A,N/A,N/A
ReActive | Gruppo AlmavivA,N/A,N/A,N/A,,,N/A,N/A,N/A
Pegaso 2000,N/A,N/A,N/A,,,N/A,N/A,N/A
Poste Italiane,N/A,N/A,N/A,,,N/A,N/A,N/A
Università degli Studi di Siena,N/A,N/A,N/A,,,N/A,N/A,N/A
BPER Banca,N/A,N/A,N/A,,,N/A,N/A,N/A
DXC Technology,N/A,N/A,N/A,,,N/A,N/A,N/A
UBS,N/A,N/A,N/A,,,N/A,N/A,N/A
Finastra,N/A,N/A,N/A,,,N/A,N/A,N/A
Tata Consultancy Services,N/A,N/A,N/A,,,N/A,N/A,N/A
Nexi,N/A,N/A,N/A,,,N/A,N/A,N/A
Terranova Software,N/A,N/A,N/A,,,N/A,N/A,N/A
BancoBPM,N/A,N/A,N/A,,,N/A,N/A,N/A
HSPI Consulenti di Direzione,N/A,N/A,N/A,,,N/A,N/A,N/A
Lavoratore autonomo,N/A,N/A,N/A,,,N/A,N/A,N/A
Red Hat,N/A,N/A,N/A,,,N/A,N/A,N/A
Engineering,N/A,N/A,N/A,,,N/A,N/A,N/A
DELISA S.R.L.,N/A,N/A,N/A,,,N/A,N/A,N/A
BCC Sinergia,N/A,N/A,N/A,,,N/A,N/A,N/A
TEA Group Srl,N/A,N/A,N/A,,,N/A,N/A,N/A
AlmavivA S.p.A.,N/A,N/A,N/A,,,N/A,N/A,N/A
BV TECH Group,N/A,N/A,N/A,,,N/A,N/A,N/A
QuestIT,N/A,N/A,N/A,,,N/A,N/A,N/A
Engineering Ingegneria Informatica,N/A,N/A,N/A,,,N/A,N/A,N/A
