Company,Latitudine,Longitudine,Count
Engineering Ingegneria Informatica Spa,,,92
Engineering Group,40.7701472,-74.5029523,39
Engineering Ingegneria Informatica SPA,,,33
Intesa Sanpaolo,45.468931850000004,9.188829082047256,32
Banca Monte dei Paschi di Siena,45.4453964,11.0196089,29
Nexen Business Consulting,,,16
BFF Banking Group,,,14
Accenture,47.244429350000004,-1.6190608898749128,13
Freelance,-33.7980119,151.2868476,12
Self-employed,,,10
MUNICIPIA SPA,,,9
Avanade,50.0646593,19.9521702,8
EY,36.638392,127.6961188,7
Engage SpA,,,6
Societe Generale Securities Services - SGSS,,,6
Engineering Ingegneria Informatica S.p.A.,41.83735635,12.47182332873064,5
Micra Software & Services S.r.l.,,,5
Capgemini,13.03586905,80.24659389223373,5
UniCredit,44.50607335,11.357651062949525,5
Federmanager,,,5
Autonomo,61.8793428,68.6418156,5
ReActive | Gruppo AlmavivA,,,5
Pegaso 2000,41.35953465,13.14992583423198,5
Poste Italiane,41.83050754999999,12.468061463202671,5
Università degli Studi di Siena,43.3430807,11.3213141,5
BPER Banca,41.8714828,12.5291995,5
DXC Technology,18.4824647,-67.0339219121077,5
UBS,33.4653968,-88.3803166,4
Finastra,51.5194667,-0.1829213,4
Tata Consultancy Services,22.571342450000003,88.43693619015504,4
Nexi,45.4823142,9.1622244,4
Terranova Software,,,4
BancoBPM,,,4
HSPI Consulenti di Direzione,,,3
Lavoratore autonomo,,,3
Red Hat,43.7075863,-79.3957828,3
Engineering,-20.279026199999997,57.49024467458274,3
DELISA S.R.L.,,,3
BCC Sinergia,,,3
TEA Group Srl,,,3
AlmavivA S.p.A.,41.95733195,12.560131836189168,3
BV TECH Group,,,3
QuestIT,43.2946171,11.3095454,3
Engineering Ingegneria Informatica,43.3099785,11.3149038,3
